,id,true_class,predicted_class
0,n02085620_10074.jpg,0,0
1,n02085620_10131.jpg,0,0
2,n02085620_10621.jpg,0,0
3,n02085620_1073.jpg,0,0
4,n02085620_10976.jpg,0,0
5,n02085620_11140.jpg,0,0
6,n02085620_11238.jpg,0,0
7,n02085620_11258.jpg,0,0
8,n02085620_11337.jpg,0,0
9,n02085620_11477.jpg,0,0
10,n02085620_1152.jpg,0,0
11,n02085620_11696.jpg,0,0
12,n02085620_11818.jpg,0,0
13,n02085620_11948.jpg,0,0
14,n02085620_1205.jpg,0,0
15,n02085620_12101.jpg,0,0
16,n02085620_12334.jpg,0,0
17,n02085620_1235.jpg,0,0
18,n02085620_1271.jpg,0,0
19,n02085620_12718.jpg,0,0
20,n02085620_1298.jpg,0,0
21,n02085620_13151.jpg,0,7
22,n02085620_1321.jpg,0,0
23,n02085620_13383.jpg,0,0
24,n02085620_1346.jpg,0,0
25,n02085620_13964.jpg,0,0
26,n02085620_14252.jpg,0,0
27,n02085620_14413.jpg,0,0
28,n02085620_14516.jpg,0,7
29,n02085620_1455.jpg,0,0
30,n02085620_1492.jpg,0,0
31,n02085620_1502.jpg,0,0
32,n02085620_1558.jpg,0,1
33,n02085620_1569.jpg,0,107
34,n02085620_1617.jpg,0,0
35,n02085620_1620.jpg,0,0
36,n02085620_1765.jpg,0,0
37,n02085620_1816.jpg,0,0
38,n02085620_1862.jpg,0,0
39,n02085620_1916.jpg,0,0
40,n02085620_199.jpg,0,107
41,n02085620_2053.jpg,0,0
42,n02085620_2188.jpg,0,0
43,n02085620_2204.jpg,0,7
44,n02085620_2208.jpg,0,0
45,n02085620_242.jpg,0,0
46,n02085620_2479.jpg,0,0
47,n02085620_2507.jpg,0,0
48,n02085620_2517.jpg,0,7
49,n02085620_2590.jpg,0,0
50,n02085620_2614.jpg,0,0
51,n02085620_2650.jpg,0,0
52,n02085620_2693.jpg,0,0
53,n02085620_2706.jpg,0,0
54,n02085620_275.jpg,0,0
55,n02085620_2793.jpg,0,0
56,n02085620_2815.jpg,0,0
57,n02085620_2887.jpg,0,0
58,n02085620_2903.jpg,0,0
59,n02085620_2921.jpg,0,0
60,n02085620_2937.jpg,0,0
61,n02085620_2973.jpg,0,0
62,n02085620_2981.jpg,0,0
63,n02085620_3006.jpg,0,0
64,n02085620_3033.jpg,0,0
65,n02085620_3045.jpg,0,0
66,n02085620_3093.jpg,0,0
67,n02085620_3110.jpg,0,0
68,n02085620_3208.jpg,0,0
69,n02085620_326.jpg,0,0
70,n02085620_3402.jpg,0,0
71,n02085620_3407.jpg,0,0
72,n02085620_3409.jpg,0,0
73,n02085620_3423.jpg,0,0
74,n02085620_3485.jpg,0,0
75,n02085620_3488.jpg,0,0
76,n02085620_3593.jpg,0,6
77,n02085620_3651.jpg,0,59
78,n02085620_3677.jpg,0,0
79,n02085620_368.jpg,0,0
80,n02085620_3681.jpg,0,0
81,n02085620_3742.jpg,0,0
82,n02085620_3763.jpg,0,7
83,n02085620_382.jpg,0,107
84,n02085620_3826.jpg,0,7
85,n02085620_3838.jpg,0,0
86,n02085620_3875.jpg,0,0
87,n02085620_3877.jpg,0,0
88,n02085620_3880.jpg,0,0
89,n02085620_3928.jpg,0,0
90,n02085620_3942.jpg,0,0
91,n02085620_3975.jpg,0,0
92,n02085620_4016.jpg,0,86
93,n02085620_4159.jpg,0,72
94,n02085620_4207.jpg,0,116
95,n02085620_4266.jpg,0,0
96,n02085620_4290.jpg,0,0
97,n02085620_431.jpg,0,0
98,n02085620_4441.jpg,0,0
99,n02085620_4515.jpg,0,0
100,n02085620_4572.jpg,0,22
101,n02085620_4602.jpg,0,0
102,n02085620_4673.jpg,0,0
103,n02085620_4700.jpg,0,6
104,n02085620_473.jpg,0,0
105,n02085620_477.jpg,0,0
106,n02085620_4814.jpg,0,0
107,n02085620_4875.jpg,0,0
108,n02085620_4919.jpg,0,0
109,n02085620_4951.jpg,0,0
110,n02085620_4980.jpg,0,0
111,n02085620_4998.jpg,0,0
112,n02085620_500.jpg,0,0
113,n02085620_5093.jpg,0,0
114,n02085620_5312.jpg,0,0
115,n02085620_5496.jpg,0,0
116,n02085620_5661.jpg,0,44
117,n02085620_5713.jpg,0,0
118,n02085620_574.jpg,0,0
119,n02085620_575.jpg,0,0
120,n02085620_5771.jpg,0,0
121,n02085620_588.jpg,0,0
122,n02085620_5927.jpg,0,0
123,n02085620_6295.jpg,0,44
124,n02085620_6399.jpg,0,0
125,n02085620_6931.jpg,0,0
126,n02085620_7.jpg,0,0
127,n02085620_712.jpg,0,0
128,n02085620_7292.jpg,0,0
129,n02085620_730.jpg,0,0
130,n02085620_735.jpg,0,20
131,n02085620_7436.jpg,0,0
132,n02085620_7440.jpg,0,0
133,n02085620_7613.jpg,0,0
134,n02085620_7700.jpg,0,0
135,n02085620_7738.jpg,0,0
136,n02085620_806.jpg,0,0
137,n02085620_8420.jpg,0,0
138,n02085620_8491.jpg,0,0
139,n02085620_8558.jpg,0,0
140,n02085620_8578.jpg,0,0
141,n02085620_8585.jpg,0,0
142,n02085620_8611.jpg,0,0
143,n02085620_8636.jpg,0,57
144,n02085620_8637.jpg,0,7
145,n02085620_9351.jpg,0,107
146,n02085620_9357.jpg,0,0
147,n02085620_9399.jpg,0,101
148,n02085620_9414.jpg,0,0
149,n02085620_949.jpg,0,0
150,n02085620_952.jpg,0,0
151,n02085620_9654.jpg,0,0
152,n02085782_1039.jpg,1,1
153,n02085782_1058.jpg,1,1
154,n02085782_1059.jpg,1,1
155,n02085782_1077.jpg,1,1
156,n02085782_1085.jpg,1,1
157,n02085782_1143.jpg,1,1
158,n02085782_1156.jpg,1,1
159,n02085782_1191.jpg,1,1
160,n02085782_1224.jpg,1,1
161,n02085782_126.jpg,1,1
162,n02085782_1267.jpg,1,1
163,n02085782_1284.jpg,1,1
164,n02085782_1348.jpg,1,1
165,n02085782_1350.jpg,1,1
166,n02085782_1353.jpg,1,1
167,n02085782_1401.jpg,1,1
168,n02085782_1425.jpg,1,1
169,n02085782_143.jpg,1,1
170,n02085782_1434.jpg,1,1
171,n02085782_1460.jpg,1,1
172,n02085782_1503.jpg,1,1
173,n02085782_1521.jpg,1,1
174,n02085782_1528.jpg,1,1
175,n02085782_1552.jpg,1,6
176,n02085782_1600.jpg,1,1
177,n02085782_1610.jpg,1,107
178,n02085782_1626.jpg,1,1
179,n02085782_1656.jpg,1,1
180,n02085782_1665.jpg,1,1
181,n02085782_1691.jpg,1,1
182,n02085782_17.jpg,1,1
183,n02085782_172.jpg,1,1
184,n02085782_1724.jpg,1,1
185,n02085782_1731.jpg,1,1
186,n02085782_1750.jpg,1,1
187,n02085782_1764.jpg,1,1
188,n02085782_1774.jpg,1,1
189,n02085782_1778.jpg,1,1
190,n02085782_1782.jpg,1,1
191,n02085782_1836.jpg,1,1
192,n02085782_1848.jpg,1,1
193,n02085782_1855.jpg,1,1
194,n02085782_186.jpg,1,5
195,n02085782_1890.jpg,1,1
196,n02085782_191.jpg,1,1
197,n02085782_1929.jpg,1,1
198,n02085782_1949.jpg,1,1
199,n02085782_1964.jpg,1,1
200,n02085782_2.jpg,1,1
201,n02085782_2010.jpg,1,1
202,n02085782_2014.jpg,1,1
